trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
"158_20110701","15:07:00","15:07:00","San Francisco Caltrain",1,,,
"158_20110701","15:12:00","15:12:00","22nd Street Caltrain",2,,,
"158_20110701","15:17:00","15:17:00","Bayshore Caltrain",3,,,
"158_20110701","15:23:00","15:23:00","So. San Francisco Caltrain",4,,,
"158_20110701","15:27:00","15:27:00","San Bruno Caltrain",5,,,
"158_20110701","15:31:00","15:31:00","Millbrae Caltrain",6,,,
"158_20110701","15:35:00","15:35:00","Burlingame Caltrain",7,,,
"158_20110701","15:38:00","15:38:00","San Mateo Caltrain",8,,,
"158_20110701","15:41:00","15:41:00","Hayward Park Caltrain",9,,,
"158_20110701","15:44:00","15:44:00","Hillsdale Caltrain",10,,,
"158_20110701","15:47:00","15:47:00","Belmont Caltrain",11,,,
"158_20110701","15:50:00","15:50:00","San Carlos Caltrain",12,,,
"158_20110701","15:55:00","15:55:00","Redwood City Caltrain",13,,,
"158_20110701","16:00:00","16:00:00","Menlo Park Caltrain",14,,,
"158_20110701","16:03:00","16:03:00","Palo Alto Caltrain",15,,,
"158_20110701","16:07:00","16:07:00","California Ave Caltrain",16,,,
"158_20110701","16:11:00","16:11:00","San Antonio Caltrain",17,,,
"158_20110701","16:15:00","16:15:00","Mountain View Caltrain",18,,,
"158_20110701","16:20:00","16:20:00","Sunnyvale Caltrain",19,,,
"158_20110701","16:24:00","16:24:00","Lawrence Caltrain",20,,,
"158_20110701","16:29:00","16:29:00","Santa Clara Caltrain",21,,,
"158_20110701","16:32:00","16:32:00","College Park Caltrain",22,,,
"158_20110701","16:39:00","16:39:00","San Jose Caltrain",23,,,
"158_20110701","16:45:00","16:45:00","Tamien Caltrain",24,,,
"158_20110701","16:52:00","16:52:00","Capitol Caltrain",25,,,
"158_20110701","16:58:00","16:58:00","Blossom Hill Caltrain",26,,,
"158_20110701","17:11:00","17:11:00","Morgan Hill Caltrain",27,,,
"158_20110701","17:17:00","17:17:00","San Martin Caltrain",28,,,
"158_20110701","17:30:00","17:30:00","Gilroy Caltrain",29,,,
"159_20110701","15:05:00","15:05:00","San Jose Caltrain",1,,,
"159_20110701","15:08:00","15:08:00","College Park Caltrain",2,,,
"159_20110701","15:12:00","15:12:00","Santa Clara Caltrain",3,,,
"159_20110701","15:17:00","15:17:00","Lawrence Caltrain",4,,,
"159_20110701","15:21:00","15:21:00","Sunnyvale Caltrain",5,,,
"159_20110701","15:26:00","15:26:00","Mountain View Caltrain",6,,,
"159_20110701","15:30:00","15:30:00","San Antonio Caltrain",7,,,
"159_20110701","15:34:00","15:34:00","California Ave Caltrain",8,,,
"159_20110701","15:38:00","15:38:00","Palo Alto Caltrain",9,,,
"159_20110701","15:41:00","15:41:00","Menlo Park Caltrain",10,,,
"159_20110701","15:46:00","15:46:00","Redwood City Caltrain",11,,,
